STATE_NAME,likes_Mean,retweet_count_Mean,user_followers_count_Mean,TextBlob_Subjectivity_Mean,TextBlob_Polarity_Mean,likes_Skewness,retweet_count_Skewness,user_followers_count_Skewness,TextBlob_Subjectivity_Skewness,TextBlob_Polarity_Skewness,likes_Median,retweet_count_Median,user_followers_count_Median,TextBlob_Subjectivity_Median,TextBlob_Polarity_Median,likes_Variance,retweet_count_Variance,user_followers_count_Variance,TextBlob_Subjectivity_Variance,TextBlob_Polarity_Variance,likes_Std,retweet_count_Std,user_followers_count_Std,TextBlob_Subjectivity_Std,TextBlob_Polarity_Std,likes_0_1_quant,retweet_count_0_1_quant,user_followers_count_0_1_quant,TextBlob_Subjectivity_0_1_quant,TextBlob_Polarity_0_1_quant,likes_0_9_quant,retweet_count_0_9_quant,user_followers_count_0_9_quant,TextBlob_Subjectivity_0_9_quant,TextBlob_Polarity_0_9_quant
Alabama,4.636125654450262,1.1963350785340314,6952.141361256545,0.37454678802215263,0.088925414379486,8.746826728212865,9.420303501527926,3.712008360950993,0.2965545602704556,0.4183695957372725,0.0,0.0,673.0,0.38229166666666664,0.0,452.4630484671093,34.01122012889749,419398689.65450466,0.1129075051816546,0.0929123725598494,21.271178821755726,5.831913933598257,20479.225807010007,0.3360171203698624,0.30481530893288383,0.0,0.0,28.1,0.0,-0.16555555555555548,7.0,2.0,5955.400000000018,0.8032142857142859,0.5
Alaska,0.9479768786127167,0.2543352601156069,3657.057803468208,0.37288103350758184,0.05827896485750434,5.6442266667515115,5.545958655931657,3.9319880312762767,-0.10618785112268402,0.34526424902211766,0.0,0.0,131.0,0.4625,0.0249999999999999,8.154254604113449,0.7605188869471705,126432009.14780211,0.07602131761061494,0.04751579559378064,2.8555655489085607,0.8720773400032651,11244.198910896326,0.27571963588147824,0.21798118174232528,0.0,0.0,11.0,0.0,-0.10694444444444445,2.0,1.0,7474.0,0.6800000000000003,0.3
Arizona,2.682584269662921,0.7837078651685393,3156.3890449438204,0.3171936473572835,0.05084967639031306,13.598251794970741,12.14209414541917,8.425832450439978,0.5140632243544995,-0.09420824208882224,0.0,0.0,534.0,0.3,0.0,204.42904293034942,16.48867324137171,54079807.18796141,0.09063842485622116,0.07261907473449886,14.297868475068213,4.060624735354366,7353.897414838027,0.3010621611166391,0.26947926587123333,0.0,0.0,32.30000000000001,0.0,-0.2,4.0,1.0,7484.0,0.7300347222222223,0.4033333333333336
Arkansas,1.6018808777429467,0.7774294670846394,13539.868338557993,0.35116398912245306,0.062136562623925466,7.414040872221854,5.383882032384507,2.5398836458543532,0.036191719752008085,0.5747464773306623,0.0,0.0,1035.0,0.4414285714285714,0.0,22.076851797086015,5.764771987933991,1283837340.1650012,0.08066190959352618,0.057793832632630555,4.698601046810212,2.4009939583293396,35830.67596578386,0.2840104040233846,0.24040347882805388,0.0,0.0,50.6,0.0,-0.3,3.1999999999999886,2.0,116842.0,0.65,0.35
California,4.181711971337331,1.3098372147363502,4899.202585871174,0.3346064632960904,0.050709172580016164,103.73600371177683,107.20709710546251,49.127752571748736,0.42900252140092143,0.16427935458742615,0.0,0.0,550.0,0.325,0.0,17247.087012460728,2293.241117585276,3667454244.881456,0.09684426825259834,0.07467649816130344,131.3281653433898,47.88779716780963,60559.5099458496,0.3111981173667321,0.27327000962656595,0.0,0.0,30.0,0.0,-0.2325925925925924,3.0,1.0,6056.0,0.75,0.4
Colorado,1.9227110582639715,0.5850178359096314,4428.784780023781,0.32911741530941674,0.009088094964020191,28.88442327040135,20.503258519209364,15.443643802177357,0.45886880104545463,0.2962128093680592,0.0,0.0,415.0,0.3444444444444444,0.0,352.47468913597555,25.28753268855728,631783693.8905934,0.09288694137307354,0.07191911915568439,18.77430928519011,5.028671065854008,25135.307714261096,0.30477359034711904,0.2681774023956612,0.0,0.0,40.0,0.0,-0.2,2.0,1.0,4755.0,0.75,0.325
Connecticut,6.475961538461538,2.1225961538461537,4943.966346153846,0.30432935814185813,0.035371944705684936,6.989307082898812,6.9220542399205485,6.243702097813293,0.5426158158948687,0.28347364323267293,0.0,0.0,384.0,0.23666666666666664,0.0,1075.5512279888783,120.59939179796108,191762853.81573218,0.09994276747859109,0.0657458401788327,32.79559769220373,10.981775439243012,13847.84654073449,0.31613726050339447,0.25640951655278454,0.0,0.0,33.0,0.0,-0.222439236111111,4.0,1.0,12406.0,0.75,0.3619047619047619
Delaware,0.7435897435897436,0.38461538461538464,1627.3162393162393,0.3294523917440584,0.048553340949174274,7.523373281936992,8.569548207578457,4.39768569540152,0.33621968808643393,-0.685377014243707,0.0,0.0,464.0,0.3666666666666667,0.0,5.640583554376659,2.4973474801061006,6992739.2008547,0.08809407205284589,0.07892066469253155,2.3749912745895845,1.5802998070322292,2644.378792997459,0.296806455544427,0.280928219822309,0.0,0.0,29.0,0.0,-0.23928571428571424,2.0,1.0,4540.0,0.6871428571428572,0.3787878787878787
District of Columbia,31.120689655172413,12.086504161712247,43683.08293697979,0.3296543195335184,0.05273239439810071,12.445194536926891,11.870954577089798,7.4727177303960035,0.5050411624763271,0.026957882453174663,0.0,0.0,1198.0,0.31666666666666665,0.0,47752.55218554851,7188.374614121004,46811653471.473564,0.09733329715419303,0.06796981679800272,218.52357352365559,84.78428282483142,216360.0089468328,0.31198284753202865,0.26071021613661927,0.0,0.0,61.60000000000002,0.0,-0.1999999999999999,12.0,5.0,24784.100000000006,0.7577777777777782,0.39900000000000085
Florida,2.855371900826446,1.5014249073810202,22342.305072670275,0.32905014679152356,0.041472043887922604,37.02167429476217,31.649705156189867,14.69216861836608,0.5118062840068552,0.26432780370527337,0.0,0.0,958.0,0.3,0.0,1133.3182560181488,424.8115271128576,36368379796.829445,0.10167422918757671,0.06964488564935903,33.66479252896338,20.610956482241615,190704.95483030702,0.3188639665869706,0.2639031747618035,0.0,0.0,52.0,0.0,-0.2333333333333332,3.0,1.0,22391.400000000078,0.7666666666666666,0.3583333333333333
