,STATE_NAME,likes_Mean,retweet_count_Mean,user_followers_count_Mean,TextBlob_Subjectivity_Mean,TextBlob_Polarity_Mean,likes_Skewness,retweet_count_Skewness,user_followers_count_Skewness,TextBlob_Subjectivity_Skewness,TextBlob_Polarity_Skewness,likes_Median,retweet_count_Median,user_followers_count_Median,TextBlob_Subjectivity_Median,TextBlob_Polarity_Median,STATE_FIPS_Counts,SUB_REGION_Counts,STATE_ABBR_Counts,geometry_Counts,created_at_Counts,likes_Counts,retweet_count_Counts,user_name_Counts,user_screen_name_Counts,user_description_Counts,user_followers_count_Counts,clean_tweet_Counts,Languages_Counts,TextBlob_Subjectivity_Counts,TextBlob_Polarity_Counts,TextBlob_Analysis_Counts,likes_Variance,retweet_count_Variance,user_followers_count_Variance,TextBlob_Subjectivity_Variance,TextBlob_Polarity_Variance,likes_Std,retweet_count_Std,user_followers_count_Std,TextBlob_Subjectivity_Std,TextBlob_Polarity_Std
0,Alabama,-0.1800635665682081,-0.227565837914918,0.20666142605439078,0.6003206222383554,1.767452789870194,-0.6777619662524361,-0.6265134764650614,-0.7602108215563071,-0.20705774603291707,0.23959823726290227,-0.1414213562373095,0.0,0.14678831514326868,0.06625894064179806,0.0,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.44531174155220205,-0.4453129804667434,-0.44790856869399126,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.4453129804667434,-0.20135852334212606,-0.2386572254230793,-0.2760451365664132,1.0610190766361978,0.6040181137496532,-0.3142805455911936,-0.3866032852570237,-0.19679075163267348,1.1149837027190534,0.6125015796201093
1,Alaska,-0.5241576740159932,-0.5631878962793176,-0.3862466321362735,0.4052612327867328,-0.26664585639820726,-1.0094831353644673,-0.24308791354604772,-0.7064480079195384,-1.3180628010534305,1.693289431442921,-0.1414213562373095,0.0,-1.0461886495956658,1.003895804046637,0.0,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213298489788747,-0.5213310474565591,-0.5203580738642816,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.5213310474565591,-0.203967191138891,-0.24304519334405864,-0.31067330352685646,-1.0652474425927938,-1.4216028889401926,-0.41555459374144654,-0.4803238045085551,-0.4181730765445932,-1.129649423180024,-1.432994399103173
2,Arizona,-0.05002199989002551,-0.152404005982618,-0.4262355387493514,-0.0736035760300739,0.4257409753031039,0.4174952141041155,-0.0014978105633983517,0.7962003470958481,0.26533080908401246,-0.5426003797588635,-0.1414213562373095,0.0,-0.42014936167761946,0.06625894064179806,0.0,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376742153785231,-0.11376883681314108,-0.1132608543359836,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.11376883681314108,-0.17452394418352563,-0.20793272026376106,-0.30629694461185825,-0.24480908732145315,0.35438830676419786,-0.02450337923595553,-0.1177236925429679,-0.3800787478721907,-0.23984488632130008,0.3695783419767422
3,Arkansas,-0.5018995619360448,-0.504467105742095,-0.1317880316259726,0.0933635235711834,0.7712095515182095,-1.015788067348911,-0.9487174057621219,-0.6331029208718242,-0.1623807939499075,1.0775862390296773,-0.1414213562373095,0.0,0.9216761050837876,0.15307716873483854,0.0,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.49242791506615957,-0.4924291289178569,-0.49027107005602144,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.4924291289178569,-0.20394999143993806,-0.24369085006955812,-0.2749083966507334,0.2290057209945318,-1.5643052053767392,-0.41359600340890507,-0.5066983801550303,-0.19132107928256215,0.2600044784858837,-1.5840338058461758
4,California,0.0005184212823947336,-0.09570947060791277,0.26123040673739595,-0.18727643046763215,0.1939735975087617,3.0203766880978664,3.527309630348328,1.6657510847161698,0.23969344968374034,-0.006695621837384877,-0.1414213562373095,0.0,-0.23299425986995176,0.06625894064179806,0.0,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.5925292755033786,3.592525888711113,3.630765899563903,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,3.592525888711113,-0.12777120680996606,-0.0009602462369936446,0.9744782556494934,0.053840617141768285,0.15041027541165666,0.2278409370599391,0.5842204337312693,1.7403140723434365,0.07635515061855115,0.1692917191622709
5,Colorado,-0.3262408327009023,-0.394368298765078,-0.2879561657730644,-0.08540732351354731,-1.0650378576303827,0.6853212435075672,0.028021181842942593,0.512646074186752,0.20841753568744031,0.25403473433893436,-0.1414213562373095,0.0,-0.40920461888184945,0.06625894064179806,0.0,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931645458149473,-0.09931787754378997,-0.09207960365496848,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.09931787754378997,-0.195960240389052,-0.2347336601081496,-0.24655346390762342,-0.2005150598826315,-0.6157499007071086,-0.2224280942249197,-0.33365526375019133,-0.07130656831048207,-0.1926978513587997,-0.5981010628545033
6,Connecticut,0.4395590341634523,0.8642156505794422,-0.1107937514886594,-1.1783474054748502,-0.5231326565569185,-0.8489795573477271,-0.7479620472200774,-0.561334428465486,1.4889874905699945,0.09469238421876734,-0.1414213562373095,0.0,-0.5274078410761659,-1.6006510387445847,0.0,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.4219041857010186,-0.42190543706690903,-0.4227959495153635,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.42190543706690903,-0.19077387412413171,-0.17276399912950033,-0.30432541562809634,0.8835339121661434,0.6542912202842878,-0.1613495299535466,0.060417070005870786,-0.3645588023628257,0.9349244082220887,0.6611383111831933
7,Delaware,-0.5165346633688325,-0.5480635840940754,-0.6226367901695086,-1.4720352413935693,0.19675771480136003,-0.919295939466451,-0.8933263417586387,0.33161916048703577,0.9502844033704391,-1.9998394160020987,-0.1414213562373095,0.0,-0.3216466765156891,-1.6006510387445847,0.0,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305122342323936,-0.5305134278256259,-0.5301463791032355,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.5305134278256259,-0.20397790379168784,-0.24390725582858064,-0.3202728131159989,-0.332886971428875,-0.7780193514286691,-0.4168571683935058,-0.5192515440615693,-0.5403697854665506,-0.3338589140280606,-0.7638390302070746
8,District of Columbia,5.376775047836644,5.24529488580885,4.711701381948554,-1.2206557909202027,0.067877339807133,-0.10042935658512508,-0.06063024264948235,-0.37492407395094346,1.4025743703219853,0.7332004932120593,7.071067811865475,0.0,1.5017474732596,-0.8524357639063794,0.0,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.6784014702103953,0.678399633551028,0.7216334433406952,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,0.678399633551028,1.5302140251443284,2.5593281122313574,3.552056337623955,-0.25352499976183446,-1.7238823340509264,2.744965378117042,3.322899886084486,3.4826516652445982,-0.2491325832960392,-1.7541310396937317
9,Florida,-0.22250161196842394,-0.061163694620701044,3.6808404510129646,-0.8432574146462145,0.25286285571334144,-0.016044044101653002,0.23005264288450772,-0.05783239398086987,0.8639820382777952,1.0200866542839098,-0.1414213562373095,0.0,0.3634942224995155,-0.7671960490513933,0.0,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.5419220113056584,1.541919715307618,1.5520347484486738,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,1.541919715307618,-0.19703127532102596,-0.1915958998874365,5.658264874184851,0.04962806289353566,-0.5687622908867253,-0.23731867950656718,-0.027498596305438407,4.484960528452887,0.07192228482945506,-0.5503248265060162
